Epoch,Training Loss,Validation Loss
1,0.12615618109703064,0.055875200778245926
2,0.029362639412283897,0.02036483958363533
3,0.016223754733800888,0.01282867044210434
4,0.01074655819684267,0.011143354699015617
5,0.009848283603787422,0.010416408069431782
6,0.009260176680982113,0.010220306925475597
7,0.009115336462855339,0.010009689256548882
8,0.009019961580634117,0.009970786049962044
9,0.009004766121506691,0.009943636134266853
10,0.008960125036537647,0.009879477322101593
11,0.008894860744476318,0.009827584028244019
12,0.008799082599580288,0.009675233624875546
13,0.008544540964066982,0.009228276088833809
14,0.007898250594735146,0.008041108958423138
15,0.0064455196261405945,0.006217971444129944
16,0.005437118466943502,0.005555350333452225
17,0.00492277555167675,0.005098353605717421
18,0.004529106430709362,0.004638714715838432
19,0.004121763166040182,0.004238833673298359
20,0.0038036394398659468,0.003960396628826857
21,0.0035169627517461777,0.003511480987071991
22,0.0028507569804787636,0.0026372962165623903
23,0.00198817765340209,0.0020768665708601475
24,0.0016951638972386718,0.00189326296094805
25,0.001562904566526413,0.0017102807760238647
26,0.0013272512005642056,0.0014252486871555448
27,0.001066757831722498,0.0011387562844902277
28,0.0008085514418780804,0.0008902121335268021
29,0.0006462984601967037,0.0007395097054541111
30,0.000538631109520793,0.0006413334049284458
31,0.0004760011506732553,0.0005512835923582315
32,0.00042881182162091136,0.0004892532015219331
33,0.0003859439748339355,0.0004337294085416943
34,0.0003599242481868714,0.0004296566476114094
35,0.00037073579733259976,0.00036302904481999576
36,0.0003057565772905946,0.0003097511944361031
37,0.0002703895734157413,0.00027606484945863485
38,0.0002446326252538711,0.0002554207167122513
39,0.0002307396352989599,0.0002456352231092751
40,0.0002118197298841551,0.00022797612473368645
41,0.0002020025422098115,0.0002128068299498409
42,0.00018652183644007891,0.00019774310931097716
43,0.00017483418923802674,0.00018829510372597724
44,0.00016541678633075207,0.0001824809587560594
45,0.00015973795962054282,0.0001739052531775087
46,0.00015958052244968712,0.00020217201381456107
47,0.0001654860534472391,0.0001728281786199659
48,0.000167968770256266,0.00018529591034166515
49,0.00016027157835196704,0.00016628716548439115
50,0.00015331203758250922,0.00016758927085902542
51,0.00014902518887538463,0.00017092589405365288
52,0.0001403487694915384,0.0001479176280554384
53,0.000129751831991598,0.00015334636555053294
54,0.000125770820886828,0.00013779834262095392
55,0.0001278913114219904,0.0001398596359649673
56,0.0001281283621210605,0.00014733921852894127
57,0.00012164846702944487,0.0001362310431431979
58,0.00012021743168588728,0.00013461976777762175
59,0.00011567148612812161,0.0001299267605645582
60,0.00011243723565712571,0.00013475932064466178
61,0.00010952528100460768,0.00012130972754675895
62,0.0001038863993017003,0.00011948996689170599
63,0.00010409597598481923,0.00011892469774466008
64,0.00010210789332631975,0.0001166508300229907
65,9.905744809657335e-05,0.00011344322410877794
66,9.684613178251311e-05,0.00011031799658667296
67,9.546369255986065e-05,0.00011267411900917068
68,9.342169505544007e-05,0.00010588720761006698
69,9.209968993673101e-05,0.0001074687679647468
70,8.942215208662674e-05,0.00010545724944677204
71,8.65128095028922e-05,0.00010019142791861668
72,8.552290819352493e-05,9.843659063335508e-05
73,8.098825492197648e-05,9.47199878282845e-05
74,7.852496491977945e-05,9.175421291729435e-05
75,7.638826355105266e-05,8.790210995357484e-05
76,7.317822746699676e-05,8.658451406517997e-05
77,7.081475632730871e-05,8.068691386142746e-05
78,6.798627146054059e-05,8.346384856849909e-05
79,6.685540574835613e-05,7.598864613100886e-05
