Epoch,Training Loss,Validation Loss
89,1.0671597920008935e-05,1.312801759922877e-05
90,1.0301593647454865e-05,1.318801696470473e-05
91,9.949866580427624e-06,1.3206661606091075e-05
92,9.62879948929185e-06,1.2706273992080241e-05
93,9.326885447080713e-06,1.2296800377953332e-05
94,9.30944770516362e-06,1.2342354239081033e-05
95,9.401478564541321e-06,1.3248904906504322e-05
96,9.151147423835937e-06,1.1790003554779105e-05
97,8.621530469099525e-06,1.1431422535679303e-05
98,8.410117516177706e-06,1.1316673408146016e-05
99,8.429198715020902e-06,1.1001116945408285e-05
100,8.107346729957499e-06,1.1061609257012606e-05
101,8.131610229611397e-06,1.0778690921142697e-05
102,8.081140549620613e-06,1.0578532055660617e-05
103,8.071569936873857e-06,1.0610302524582949e-05
104,7.740020009805448e-06,1.0412330993858632e-05
105,7.918821211205795e-06,1.1552138857950922e-05
106,8.152904229064006e-06,1.0412131814518943e-05
107,8.297634849441238e-06,1.0440792721055914e-05
108,7.96403310232563e-06,1.0882346032303758e-05
109,7.854630894144066e-06,1.0157790711673442e-05
110,7.842535524105188e-06,9.927361134032253e-06
111,7.340259799093474e-06,9.99185249384027e-06
112,7.325229034904623e-06,9.539870006847195e-06
113,7.132617611205205e-06,9.804136425373144e-06
114,7.133385224733502e-06,9.934015906765126e-06
115,7.010129138507182e-06,9.363172466692049e-06
116,6.994785508140922e-06,9.338245945400558e-06
117,6.890816621307749e-06,9.210181815433316e-06
118,6.6404754761606455e-06,9.070185114978813e-06
119,6.442674930440262e-06,8.784984856902156e-06
120,6.332133580144728e-06,8.81814139574999e-06
121,6.24118683845154e-06,9.100052920985036e-06
122,6.4060564000101294e-06,8.909209100238513e-06
123,6.617118287977064e-06,1.0154971278097946e-05
124,6.73201066092588e-06,8.56875158206094e-06
125,6.264549938350683e-06,8.747080755711067e-06
126,6.283247785177082e-06,9.268199391954113e-06
127,6.1607984207512345e-06,8.375847755814902e-06
128,6.014240625518141e-06,8.468674423056655e-06
129,5.771770702267531e-06,8.191706001525745e-06
130,5.700678229914047e-06,8.062526831054129e-06
131,5.667821369570447e-06,8.096526471490506e-06
132,5.641219559038291e-06,7.940795512695331e-06
133,5.529101144929882e-06,7.90157173469197e-06
134,5.504533874045592e-06,8.037120096560102e-06
135,5.539017820410663e-06,8.267026714747772e-06
136,5.660705028276425e-06,8.931206139095593e-06
137,5.877792318642605e-06,8.678036465425976e-06
138,6.139651759440312e-06,7.998199180292431e-06
139,5.795933248009533e-06,8.5462106653722e-06
140,5.801505722047295e-06,7.766228009131737e-06
141,5.7296419981867075e-06,7.884596016083378e-06
142,5.578931450145319e-06,8.165119652403519e-06
143,5.550494279304985e-06,7.562991868326208e-06
144,5.1388337851676624e-06,7.414797437377274e-06
145,5.0801277211576235e-06,7.365345481957775e-06
146,5.036488801124506e-06,7.2612556323292665e-06
